Brand Name,SpendCoef,totSalesWk18-52
IQO,3.0874611791047837,157758.80999999997
Propel,6.8920598844093,124822.65000000002
Smartfood,2.4130875119890955,101750.79000000001
Life,0.844756529727388,84754.46999999999
Chewy,2.945469059622167,82625.89000000003
Pepsi,16.713053595631028,82252.3
SQO,0.718665275806409,76781.46
QK Oat Squares Cereal,1.1756092749006841,69537.90999999999
Dips,0.194081931171619,66475.03
Large Rice Cakes,2.4460479265187343,54621.60000000001
Doritos,3.88320675844806,49034.530000000006
Mountain Dew,10.82925519873135,46391.31
Quaker Medleys,-0.013538672583751618,44832.130000000005
Aunt Jemima,0.20314498083403143,43629.41000000001
Aquafina,-0.39965883943939023,42892.75000000001
Bubly,0.18275451825322814,42056.97
Diet Pepsi,-2.2717319529603364,40601.82000000001
IQO Premium,0.28702721514582147,37665.52
Lay's,0.25157033043966054,35598.52000000001
Starbucks,-0.08514670113724736,34684.55
Rold Gold,1.2113135126135322,31417.19
Simply,0.6404974626812728,30416.83
Cap'N Crunch,0.30071282261368293,29610.04
Diet Mountain Dew,-10.116703678185285,24165.160000000003
Gatorade,4.255117313476962,24085.849999999995
Pure Leaf,-1.1189702897213503,23328.999999999996
Quaker,3.017021755904872,20073.270000000004
Baked,-1.3069839039191506,19971.66
Lay's Kettle Cooked,0.079809471253685,17120.15
QK Breakfast Squares,0.688357301225596,13085.619999999999
Other Non-Core RTE,6.078686925006971,11648.800000000001
Diet Lipton,-10.660180467091298,8088.5199999999995
Overnight Oats,0.2990839953791901,8013.42
Tostitos,-0.8816709371734494,6826.049999999998
Mug,7.439670781893003,4625.86
Lipton,0.8182750540735401,4210.900000000001
Maker,18.133692498963942,3249.45
Ruffles,0.7377110944597945,2483.0399999999995
LIFEWTR,-0.36522137116662307,2129.18
Breakfast Flats,-0.8627049078996167,775.3800000000001
