TCIN,TCIN Name,Account Id,Account Name,Campaign Id,Campaign Name,Date,Impressions,Clicks,  Spend  
12946196,Pepsi Diet Caffeine Free Cola - 12pk/12 fl oz Cans,51,51,51,51,51,51,51,51
12946325,Mountain Dew Throwback Soda - 12pk/12 fl oz Cans,58,58,58,58,58,58,58,58
12958752,Diet Mountain Dew Citrus Soda - 12pk/12 fl oz Cans,44,44,44,44,44,44,44,44
12958796,Pure Leaf Unsweetened Iced Tea - 6pk/18.5 fl oz Bottles,72,72,72,72,72,72,72,72
12958797,Pure Leaf Sweet Iced Tea - 6pk/18.5 fl oz Bottles,73,73,73,73,73,73,73,73
12959585,Pepsi Diet Wild Cherry Cola - 12pk/12 fl oz Cans,62,62,62,62,62,62,62,62
13304352,Life Cinnamon Breakfast Cereal  - 18oz - Quaker Oats,66,66,66,66,66,66,66,66
13304357,Corn Bran Crunch Breakfast Cereal - 10.5oz - Quaker&#174; Oats,61,61,61,61,61,61,61,61
13304763,Cap&apos;n Crunch Breakfast Cereal - 20oz - Quaker Oats,54,54,54,54,54,54,54,54
13304764,Cap&apos;n Crunch Crunch Berries Breakfast Cereal - 18.7oz - Quaker Oats,4,4,4,4,4,4,4,4
13304765,Oatmeal Squares Brown Sugar Breakfast Cereal - 14.5oz - Quaker Oats,99,99,99,99,99,99,99,99
13304816,Life Original Multigrain Breakfast Cereal  - 18oz - Quaker Oats,60,60,60,60,60,60,60,60
13304818,Oatmeal Squares Cinnamon Breakfast Cereal - 14.5oz - Quaker Oats,97,97,97,97,97,97,97,97
13332023,Smartfood White Cheddar Cheese Flavored Popcorn - 12ct,108,108,108,108,108,108,108,108
13344794,Frito-Lay Variety Pack Classic Mix - 18ct,35,35,35,35,35,35,35,35
13373288,Pepsi Diet Cola - 12pk/12 fl oz Cans,60,60,60,60,60,60,60,60
13532748,IZZE Sparkling Blackberry Beverage - 4pk/8.4 fl oz Cans,49,49,49,49,49,49,49,49
13532749,IZZE Sparkling Clementine Beverage - 4pk/8.4 fl oz Cans,46,46,46,46,46,46,46,46
14084321,Quaker Real Medleys Peach Almond Oatmeal Cup - 2.64oz,45,45,45,45,45,45,45,45
14084322,Quaker Real Medleys Summer Berry Oatmeal Cup - 2.46oz,45,45,45,45,45,45,45,45
14084323,Quaker Real Medleys Apple Walnut Oatmeal Cup - 2.64oz,45,45,45,45,45,45,45,45
14387653,Propel Zero Water Beverage Mix Grape - 10pk/0.084oz Pouches,57,57,57,57,57,57,57,57
14754564,Propel Zero Lemonade Water Beverage Mix - 10pk/0.084oz Pouches,27,27,27,27,27,27,27,27
14754565,Propel Zero Raspberry Lemonade - 10pk/0.084oz Pouches,46,46,46,46,46,46,46,46
14754567,Propel Zero Berry Water Beverage Mix - 10pk/0.084oz Pouches,43,43,43,43,43,43,43,43
14754579,Propel Zero Kiwi Strawberry Water Beverage Mix - 10pk/0.8oz,80,80,80,80,80,80,80,80
14769353,Quaker Real Medley Blueberry Hazelnut Oatmeal Cup - 2.46oz,21,21,21,21,21,21,21,21
14769353,Quaker&reg; Real Medley Blueberry Hazelnut Oatmeal - 2.46oz,29,29,29,29,29,29,29,29
14930848,Smartfood Movie Theater Butter Popcorn - 7.5oz,84,84,84,84,84,84,84,84
14930852,Smartfood White Cheddar Cheese Popcorn - 11.5oz,108,108,108,108,108,108,108,108
14930857,Smartfood White Cheddar Popcorn - 8.5oz,99,99,99,99,99,99,99,99
15033868,Real Medleys Cherry Almond Pecan Multigrain Breakfast Cereal - 17oz - Quaker Oats,119,119,119,119,119,119,119,119
16239467,Quaker Real Medleys Super Grain Banana Walnut Flavor Oatmeal Cup - 2.46oz,37,37,37,37,37,37,37,37
16239467,Quaker&reg; Real Medleys Super Grain Banana Walnut Flavor Oatmeal - 2.46oz Cup,29,29,29,29,29,29,29,29
16239468,Quaker Real Medleys Super Grain Maple Pecan Raisin Flavored Oatmeal Cup - 2.46oz,45,45,45,45,45,45,45,45
16239468,Quaker&reg; Real Medleys Super Grain Maple Pecan Raisin Flavored Oatmeal - 2.46oz cup,29,29,29,29,29,29,29,29
16958332,Pure Leaf Unsweetened Iced Tea - 64 fl oz Bottle,72,72,72,72,72,72,72,72
16958333,Pure Leaf Sweet Tea Iced Tea - 64 fl oz Bottle,58,58,58,58,58,58,58,58
17078738,Frito-Lay Variety Pack Baked & Popped Mix- 18ct,72,72,72,72,72,72,72,72
47824516,Pure Leaf Raspberry Iced Tea - 6pk/18.5 fl oz Bottles,72,72,72,72,72,72,72,72
51592437,Smartfood Parmesan Garlic Popcorn - 7oz,108,108,108,108,108,108,108,108
51919008,"Eaten Path Rice, Peas, Black Beans Veggie Crisps - 6.25oz",85,85,85,85,85,85,85,85
52000582,Starbucks Doubleshot Energy Mocha - 4pk/11 fl oz Cans,38,38,38,38,38,38,38,38
52050594,Quaker Overnight Oats Toasted Coconut & Almond Crunch - 2.43oz,45,45,45,45,45,45,45,45
52050595,Quaker Overnight Oats Orchard Peach Pecan Perfection - 2.57oz,45,45,45,45,45,45,45,45
52118934,Quaker Garden Tomato & Basil Rice Cakes - 6.1oz,99,99,99,99,99,99,99,99
52121018,Quaker Chocolate Chip Chewy Bites - 4.5oz,119,119,119,119,119,119,119,119
53463023,Quaker Pumpkin Spice Oatmeal,45,45,45,45,45,45,45,45
